gene_name,log10FPKM,,,
a1cf,-1.046,,,
a2ml,-2.176,,,
aaas,1.086,,,
aacs,0.183,,,
aadac,-1.778,,,
aadacl4,-0.875,,,
aadat,0.837,,,
aagab,1.133,,,
aak1a,0.202,,,
aak1b,0.174,,,
aamdc,0.769,,,
aamp,1.282,,,
aanat1,-0.284,,,
aanat2,0.557,,,
aar2,1.062,,,
aars,0.968,,,
aars2,0.236,,,
aarsd1,0.584,,,
aasdh,-0.574,,,
aasdhppt,0.492,,,
aass,0.217,,,
aatf,0.696,,,
aatka,-0.504,,,
aatkb,-0.626,,,
abat,0.948,,,
abca12,0.039,,,
abca1a,0.518,,,
abca1b,1.049,,,
abca2,0.139,,,
abca3b,0.648,,,
abca4a,0.006,,,
abca4b,0.297,,,
abca5,0.561,,,
abcb10,0.323,,,
abcb11a,-4.000,,,
abcb11b,-1.062,,,
abcb4,-0.745,,,
abcb5,0.198,,,
abcb6a,-0.875,,,
abcb6b,-0.198,,,
abcb7,0.972,,,
abcb8,0.790,,,
abcb9,0.146,,,
abcc1,0.630,,,
abcc10,0.441,,,
abcc12,-0.678,,,
abcc13,-0.373,,,
abcc2,-0.543,,,
abcc3,1.029,,,
abcc4,0.872,,,
abcc5,0.933,,,
abcc6a,-0.638,,,
abcc6b.1,-0.490,,,
abcc6b.2,-0.986,,,
abcc8,-0.284,,,
abcc8b,-0.844,,,
abcc9,-0.946,,,
abcd1,-0.123,,,
abcd2,-0.620,,,
ABCD2 (1 of many),-0.909,,,
abcd3a,0.931,,,
abcd3b,0.351,,,
abcd4,0.432,,,
abce1,1.398,,,
abcf1,1.173,,,
abcf2a,1.586,,,
abcf2b,-0.548,,,
abcf3,0.421,,,
abcg1,-0.219,,,
abcg2a,0.328,,,
abcg2b,-4.000,,,
abcg2c,0.895,,,
abcg2d,-0.886,,,
abcg4a,-4.000,,,
abcg4b,-0.373,,,
abcg5,-4.000,,,
abcg8,-4.000,,,
abch1,-0.504,,,
abhd10a,0.541,,,
abhd10b,1.466,,,
abhd11,0.579,,,
abhd12,0.412,,,
abhd13,0.739,,,
abhd14a,0.204,,,
abhd14b,0.776,,,
abhd15a,0.593,,,
abhd16a,1.171,,,
abhd17aa,0.678,,,
abhd17ab,0.408,,,
abhd17b,1.103,,,
abhd17c,1.037,,,
abhd18,0.845,,,
abhd2a,1.086,,,
abhd2b,-0.281,,,
abhd3,-1.363,,,
abhd4,1.353,,,
abhd6a,0.550,,,
abhd6b,-1.574,,,
abhd8a,-0.569,,,
abhd8b,-0.180,,,
abi1a,0.436,,,
abi1b,-0.477,,,
abi2a,1.060,,,
abi2b,1.338,,,
abi3a,-1.115,,,
abi3b,1.843,,,
abi3bpa,-2.176,,,
abi3bpb,1.893,,,
abl1,0.844,,,
abl2,0.814,,,
ablim1a,-0.574,,,
ablim1b,0.965,,,
ablim2,-0.585,,,
ablim3,0.821,,,
abo,-4.000,,,
abr,-0.099,,,
abraa,-0.265,,,
abrab,-1.363,,,
abracl,1.784,,,
abraxas1,0.574,,,
abraxas2,0.480,,,
abt1,0.618,,,
abtb1,0.385,,,
abtb2a,-0.533,,,
abtb2b,0.165,,,
acaa1,1.202,,,
acaa2,1.786,,,
acaca,0.014,,,
acacb,0.764,,,
acad11,0.756,,,
acad8,1.083,,,
acad9,0.844,,,
acadl,1.540,,,
acadm,1.936,,,
acads,1.171,,,
acadsb,1.217,,,
acadvl,1.631,,,
acana,-0.036,,,
acanb,-0.384,,,
acap1,0.287,,,
acap2,0.203,,,
acap3a,0.011,,,
acap3b,0.876,,,
acat1,0.888,,,
acat2,0.731,,,
acbd3,0.569,,,
acbd4,0.303,,,
acbd5a,0.230,,,
acbd5b,-0.473,,,
acbd6,0.570,,,
acbd7,0.252,,,
accs,0.456,,,
acd,0.514,,,
ace,0.797,,,
ace2,0.001,,,
acer1,-0.183,,,
