Gene_Names,Gene_ID,Avg_Count
a1cf,LL0000000001,32
a2ml,LL0000000002,30
aaas,LL0000000003,1048
aacs,LL0000000004,270
aadac,LL0000000005,17
aadacl4,LL0000000006,4
aadat,LL0000000007,276
aagab,LL0000000008,586
aak1a,LL0000000009,240
aak1b,LL0000000010,210
aamdc,LL0000000011,180
aamp,LL0000000012,1568
aanat1,LL0000000013,8
aanat2,LL0000000014,42
aar2,LL0000000015,385
aars,LL0000000016,1734
aars2,LL0000000017,479
aarsd1,LL0000000018,202
aasdh,LL0000000019,0
aasdhppt,LL0000000020,134
aass,LL0000000021,219
aatf,LL0000000022,640
aatka,LL0000000023,167
aatkb,LL0000000024,189
abat,LL0000000025,1181
abca12,LL0000000026,746
abca1a,LL0000000027,1697
abca1b,LL0000000028,3868
abca2,LL0000000029,295
abca3b,LL0000000030,1840
abca4a,LL0000000031,21
abca4b,LL0000000032,37
abca5,LL0000000033,1042
abcb10,LL0000000034,326
abcb11a,LL0000000035,18
abcb11b,LL0000000036,4
abcb4,LL0000000037,19
abcb5,LL0000000038,2081
abcb6a,LL0000000039,44
abcb6b,LL0000000040,176
abcb7,LL0000000041,1417
abcb8,LL0000000042,670
abcb9,LL0000000043,193
abcc1,LL0000000044,1688
abcc10,LL0000000045,730
abcc12,LL0000000046,1
abcc13,LL0000000047,5
abcc2,LL0000000048,126
abcc3,LL0000000049,3393
abcc4,LL0000000050,2155
abcc5,LL0000000051,2992
abcc6a,LL0000000052,16
abcc6b.1,LL0000000053,10
abcc6b.2,LL0000000054,41
abcc8,LL0000000055,17
abcc8b,LL0000000056,17
abcc9,LL0000000057,252
abcd1,LL0000000058,261
abcd2,LL0000000059,55
ABCD2 (1 of many),LL0000000060,20
abcd3a,LL0000000061,1200
abcd3b,LL0000000062,453
abcd4,LL0000000063,262
abce1,LL0000000064,3674
abcf1,LL0000000065,1663
abcf2a,LL0000000066,4710
abcf2b,LL0000000067,35
abcf3,LL0000000068,201
abcg1,LL0000000069,92
abcg2a,LL0000000070,315
abcg2b,LL0000000071,19
abcg2c,LL0000000072,972
abcg2d,LL0000000073,0
abcg4a,LL0000000074,16
abcg4b,LL0000000075,87
abcg5,LL0000000076,0
abcg8,LL0000000077,15
abch1,LL0000000078,316
abhd10a,LL0000000079,338
abhd10b,LL0000000080,1084
abhd11,LL0000000081,491
