gene_name,log10FPKM,,,
a1cf,-0.353,,,
a2ml,-0.796,,,
aaas,1.301,,,
aacs,0.187,,,
aadac,-0.737,,,
aadacl4,-1.155,,,
aadat,0.858,,,
aagab,1.075,,,
aak1a,0.177,,,
aak1b,0.186,,,
aamdc,0.863,,,
aamp,1.418,,,
aanat1,-0.805,,,
aanat2,0.236,,,
aar2,0.976,,,
aars,1.100,,,
aars2,0.617,,,
aarsd1,0.603,,,
aasdh,-4.000,,,
aasdhppt,0.602,,,
aass,0.222,,,
aatf,0.903,,,
aatka,-0.242,,,
aatkb,-0.060,,,
abat,1.068,,,
abca12,0.482,,,
abca1a,0.646,,,
abca1b,1.067,,,
abca2,0.044,,,
abca3b,0.839,,,
abca4a,-0.076,,,
abca4b,-0.591,,,
abca5,0.589,,,
abcb10,0.476,,,
abcb11a,-0.972,,,
abcb11b,-1.778,,,
abcb4,-0.921,,,
abcb5,1.022,,,
abcb6a,-0.523,,,
abcb6b,0.064,,,
abcb7,1.151,,,
abcb8,0.849,,,
abcb9,0.258,,,
abcc1,0.881,,,
abcc10,0.591,,,
abcc12,-2.477,,,
abcc13,-1.436,,,
abcc2,-0.172,,,
abcc3,1.234,,,
abcc4,1.038,,,
abcc5,1.095,,,
abcc6a,-1.222,,,
abcc6b.1,-0.448,,,
abcc6b.2,-0.770,,,
abcc8,-0.946,,,
abcc8b,-0.986,,,
abcc9,0.067,,,
abcd1,0.215,,,
abcd2,-0.469,,,
ABCD2 (1 of many),-0.268,,,
abcd3a,1.070,,,
abcd3b,0.716,,,
abcd4,0.528,,,
abce1,1.606,,,
abcf1,1.332,,,
abcf2a,1.756,,,
abcf2b,-0.257,,,
abcf3,0.553,,,
abcg1,-0.198,,,
abcg2a,0.615,,,
abcg2b,-0.737,,,
abcg2c,1.127,,,
abcg2d,-4.000,,,
abcg4a,-1.079,,,
abcg4b,-0.022,,,
abcg5,-4.000,,,
abcg8,-0.814,,,
abch1,0.424,,,
abhd10a,0.750,,,
abhd10b,1.512,,,
abhd11,0.774,,,
abhd12,0.886,,,
abhd13,0.653,,,
abhd14a,0.098,,,
abhd14b,0.928,,,
abhd15a,0.624,,,
abhd16a,1.359,,,
abhd17aa,0.774,,,
abhd17ab,0.464,,,
abhd17b,1.218,,,
abhd17c,1.076,,,
abhd18,0.855,,,
abhd2a,1.324,,,
abhd2b,0.631,,,
abhd3,-0.875,,,
abhd4,1.356,,,
abhd6a,0.832,,,
abhd6b,-0.897,,,
abhd8a,-0.699,,,
abhd8b,-0.298,,,
abi1a,0.560,,,
abi1b,-0.287,,,
abi2a,1.310,,,
abi2b,1.340,,,
abi3a,-0.844,,,
abi3b,1.517,,,
abi3bpa,-0.310,,,
abi3bpb,1.855,,,
abl1,1.244,,,
abl2,0.998,,,
ablim1a,-0.591,,,
ablim1b,1.095,,,
ablim2,-0.104,,,
ablim3,0.705,,,
abo,-0.632,,,
abr,0.675,,,
abraa,-0.814,,,
abrab,-1.699,,,
abracl,1.708,,,
abraxas1,0.346,,,
abraxas2,0.522,,,
abt1,0.884,,,
abtb1,0.496,,,
abtb2a,0.236,,,
abtb2b,0.827,,,
acaa1,1.234,,,
acaa2,1.798,,,
acaca,0.547,,,
acacb,0.829,,,
acad11,0.818,,,
acad8,1.222,,,
acad9,0.911,,,
acadl,1.576,,,
acadm,2.017,,,
acads,1.119,,,
acadsb,1.162,,,
acadvl,1.751,,,
acana,1.378,,,
acanb,1.082,,,
acap1,0.301,,,
acap2,0.566,,,
acap3a,0.261,,,
acap3b,0.890,,,
acat1,0.977,,,
acat2,0.876,,,
acbd3,0.714,,,
acbd4,0.066,,,
acbd5a,0.444,,,
acbd5b,-0.569,,,
acbd6,0.623,,,
acbd7,0.374,,,
accs,0.597,,,
acd,0.452,,,
ace,0.962,,,
ace2,0.083,,,
acer1,0.479,,,
acer2,0.274,,,
acer3,-0.131,,,
ache,0.342,,,
acin1a,1.612,,,
acin1b,1.269,,,
ACKR2,-4.000,,,
ackr3a,0.445,,,
ackr3b,1.849,,,
ackr4a,0.077,,,
ackr4b,0.209,,,
aclya,1.500,,,
aclyb,-0.054,,,
acmsd,0.151,,,
aco1,1.404,,,
aco2,1.790,,,
acod1,-0.824,,,
acot11a,0.982,,,
acot11b,0.086,,,
ACOT12,-0.664,,,
acot13,1.613,,,
acot14,0.887,,,
acot15,1.315,,,
acot16,-0.513,,,
acot17,-1.331,,,
acot18,0.594,,,
acot19,-0.344,,,
acot20,0.211,,,
acot21,-4.000,,,
acot22,-4.000,,,
acot7,0.567,,,
acot8,0.613,,,
acot9.1,1.016,,,
acot9.2,0.207,,,
acox1,1.107,,,
acox3,0.410,,,
acoxl,-0.064,,,
acp1,1.387,,,
acp2,1.433,,,
acp5a,-0.006,,,
acp5b,-0.658,,,
acp6,0.777,,,
acp7,0.584,,,
acsbg1,-2.000,,,
acsbg2,1.366,,,
acsf2,1.582,,,
ACSF3,0.386,,,
acsl1a,0.924,,,
acsl1b,1.391,,,
acsl2,0.181,,,
acsl3a,0.426,,,
acsl3b,0.581,,,
acsl4a,0.668,,,
acsl4b,1.097,,,
acsl5,-0.721,,,
acsm3,0.777,,,
acss1,0.844,,,
acss2,1.382,,,
acss2l,-4.000,,,
acss3,0.665,,,
acta1a,1.354,,,
acta1b,2.011,,,
acta2,0.750,,,
actb1,4.098,,,
actb2,4.034,,,
actc1b,3.084,,,
actc1c,0.114,,,
actl6a,1.575,,,
actl6b,-0.946,,,
actn1,2.208,,,
actn2a,-0.946,,,
actn2b,-0.295,,,
actn3a,0.936,,,
actn3b,0.472,,,
actn4,2.235,,,
actr1,1.625,,,
actr10,1.404,,,
actr2a,1.506,,,
actr2b,1.255,,,
actr3,2.474,,,
actr3b,-0.796,,,
actr5,0.466,,,
actr6,1.178,,,
actr8,0.825,,,
acvr1ba,1.337,,,
acvr1bb,0.830,,,
ACVR1C,-4.000,,,
acvr1l,1.468,,,
acvr2aa,1.059,,,
acvr2ab,0.597,,,
acvr2ba,0.914,,,
acvr2bb,0.459,,,
acvrl1,1.272,,,
acy1,1.216,,,
acy3.1,0.023,,,
acy3.2,1.193,,,
acyp1,0.063,,,
acyp2,0.071,,,
ada,1.554,,,
ada2a,1.012,,,
ada2b,-0.753,,,
adad1,-4.000,,,
adad2,-0.602,,,
adal,0.153,,,
adam10a,1.748,,,
adam10b,0.918,,,
adam11,-0.046,,,
adam12,0.021,,,
ADAM12 (1 of many),0.040,,,
adam15,-0.212,,,
adam17a,1.271,,,
adam17b,0.922,,,
adam19a,1.049,,,
adam19b,0.561,,,
adam22,0.205,,,
adam23a,-0.608,,,
adam28,1.839,,,
adam8a,0.549,,,
adam8b,0.840,,,
adam9,1.218,,,
adamts1,1.560,,,
adamts10,0.690,,,
adamts12,0.455,,,
adamts13,0.121,,,
adamts14,1.008,,,
adamts15a,0.723,,,
adamts15b,1.050,,,
adamts16,0.429,,,
adamts17,0.362,,,
adamts18,0.748,,,
adamts2,0.870,,,
adamts3,1.044,,,
adamts5,-0.174,,,
adamts6,0.093,,,
ADAMTS7,-0.057,,,
adamts8a,0.474,,,
adamts9,0.041,,,
adamtsl2,0.135,,,
adamtsl3,-0.003,,,
adamtsl5,0.769,,,
adamtsl7,1.416,,,
adap2,0.036,,,
adar,0.739,,,
adarb1a,-0.721,,,
adarb1b,0.222,,,
adarb2,-0.262,,,
adat1,0.251,,,
adat2,0.064,,,
adat3,0.437,,,
adck1,0.421,,,
adck2,0.031,,,
adck5,0.477,,,
adcy1a,-4.000,,,
adcy1b,-0.897,,,
adcy2a,-0.357,,,
adcy2b,-0.147,,,
adcy3a,0.020,,,
adcy3b,-0.614,,,
adcy5,-0.563,,,
adcy6a,0.381,,,
adcy6b,0.513,,,
adcy7,0.898,,,
adcy8,-0.155,,,
adcy9,0.745,,,
adcyap1a,-0.084,,,
adcyap1b,0.661,,,
add1,1.534,,,
add2,-0.239,,,
add3a,1.372,,,
add3b,-0.180,,,
adgb,-0.420,,,
adgra1a,-1.176,,,
adgra2,0.974,,,
adgra3,1.090,,,
adgrb1a,-0.284,,,
adgrb1b,-0.227,,,
adgrb2,-0.761,,,
adgrb3,-0.102,,,
adgrd1,-0.035,,,
adgrd2,-4.000,,,
adgre10,-0.469,,,
adgre13,-4.000,,,
adgre14,-4.000,,,
adgre15,-1.301,,,
adgre16,-1.632,,,
adgre17,-1.699,,,
adgre19,-4.000,,,
adgre5a,-0.778,,,
