Gene_Names,Gene_ID,Avg_Count
a1cf,LL0000000001,8
a2ml,LL0000000002,1
aaas,LL0000000003,679
aacs,LL0000000004,224
aadac,LL0000000005,4
aadacl4,LL0000000006,7
aadat,LL0000000007,284
aagab,LL0000000008,716
aak1a,LL0000000009,254
aak1b,LL0000000010,205
aamdc,LL0000000011,160
aamp,LL0000000012,1217
aanat1,LL0000000013,29
aanat2,LL0000000014,105
aar2,LL0000000015,470
aars,LL0000000016,1343
aars2,LL0000000017,215
aarsd1,LL0000000018,205
aasdh,LL0000000019,34
aasdhppt,LL0000000020,116
aass,LL0000000021,242
aatf,LL0000000022,412
aatka,LL0000000023,101
aatkb,LL0000000024,60
abat,LL0000000025,991
abca12,LL0000000026,282
abca1a,LL0000000027,1178
abca1b,LL0000000028,3632
abca2,LL0000000029,247
abca3b,LL0000000030,1172
abca4a,LL0000000031,113
abca4b,LL0000000032,569
abca5,LL0000000033,1061
abcb10,LL0000000034,232
abcb11a,LL0000000035,0
abcb11b,LL0000000036,18
abcb4,LL0000000037,30
abcb5,LL0000000038,344
abcb6a,LL0000000039,25
abcb6b,LL0000000040,74
abcb7,LL0000000041,987
abcb8,LL0000000042,617
abcb9,LL0000000043,154
abcc1,LL0000000044,1020
abcc10,LL0000000045,557
abcc12,LL0000000046,42
abcc13,LL0000000047,31
abcc2,LL0000000048,55
abcc3,LL0000000049,2263
abcc4,LL0000000050,1489
abcc5,LL0000000051,2216
abcc6a,LL0000000052,56
abcc6b.1,LL0000000053,23
abcc6b.2,LL0000000054,24
abcc8,LL0000000055,86
abcc8b,LL0000000056,27
abcc9,LL0000000057,27
abcd1,LL0000000058,155
abcd2,LL0000000059,43
ABCD2 (1 of many),LL0000000060,5
abcd3a,LL0000000061,914
abcd3b,LL0000000062,199
abcd4,LL0000000063,235
abce1,LL0000000064,2408
abcf1,LL0000000065,1078
abcf2a,LL0000000066,3360
abcf2b,LL0000000067,33
abcf3,LL0000000068,157
abcg1,LL0000000069,97
abcg2a,LL0000000070,169
abcg2b,LL0000000071,0
abcg2c,LL0000000072,639
abcg2d,LL0000000073,22
abcg4a,LL0000000074,0
abcg4b,LL0000000075,46
abcg5,LL0000000076,0
abcg8,LL0000000077,0
abch1,LL0000000078,59
abhd10a,LL0000000079,248
abhd10b,LL0000000080,1051
abhd11,LL0000000081,321
abhd12,LL0000000082,253
abhd13,LL0000000083,271
abhd14a,LL0000000084,140
abhd14b,LL0000000085,513
abhd15a,LL0000000086,540
abhd16a,LL0000000087,1194
abhd17aa,LL0000000088,404
abhd17ab,LL0000000089,579
abhd17b,LL0000000090,792
abhd17c,LL0000000091,849
abhd18,LL0000000092,501
abhd2a,LL0000000093,746
abhd2b,LL0000000094,39
abhd3,LL0000000095,16
abhd4,LL0000000096,1200
abhd6a,LL0000000097,183
abhd6b,LL0000000098,2
abhd8a,LL0000000099,18
